"module name","licenses"
"@actions/core@1.2.6","MIT"
"@actions/github@2.1.1","MIT"
"@actions/http-client@1.0.8","MIT"
"@octokit/auth-token@2.4.0","MIT"
"@octokit/endpoint@6.0.1","MIT"
"@octokit/graphql@4.3.1","MIT"
"@octokit/plugin-paginate-rest@1.1.2","MIT"
"@octokit/plugin-request-log@1.0.0","MIT"
"@octokit/plugin-rest-endpoint-methods@2.4.0","MIT"
"@octokit/request-error@1.2.1","MIT"
"@octokit/request-error@2.0.0","MIT"
"@octokit/request@5.4.2","MIT"
"@octokit/rest@16.43.1","MIT"
"@octokit/types@2.11.1","MIT"
"@types/node@13.13.1","MIT"
"atob-lite@2.0.0","MIT"
"before-after-hook@2.1.0","Apache-2.0"
"btoa-lite@1.0.0","MIT"
"closed-reference-notifier@1.1.0","ISC"
"cross-spawn@6.0.5","MIT"
"deprecation@2.3.1","ISC"
"end-of-stream@1.4.4","MIT"
"execa@1.0.0","MIT"
"get-stream@4.1.0","MIT"
"ignore@5.1.4","MIT"
"is-plain-object@3.0.0","MIT"
"is-stream@1.1.0","MIT"
"isexe@2.0.0","ISC"
"isobject@4.0.0","MIT"
"lodash.get@4.4.2","MIT"
"lodash.set@4.3.2","MIT"
"lodash.uniq@4.5.0","MIT"
"macos-release@2.3.0","MIT"
"nice-try@1.0.5","MIT"
"node-fetch@2.6.7","MIT"
"npm-run-path@2.0.2","MIT"
"octokit-pagination-methods@1.1.0","MIT"
"once@1.4.0","ISC"
"os-name@3.1.0","MIT"
"p-finally@1.0.0","MIT"
"path-key@2.0.1","MIT"
"pump@3.0.0","MIT"
"semver@5.7.2","ISC"
"shebang-command@1.2.0","MIT"
"shebang-regex@1.0.0","MIT"
"signal-exit@3.0.3","ISC"
"strip-eof@1.0.0","MIT"
"tr46@0.0.3","MIT"
"tunnel@0.0.6","MIT"
"universal-user-agent@4.0.1","ISC"
"universal-user-agent@5.0.0","ISC"
"walkdir@0.4.1","MIT"
"webidl-conversions@3.0.1","BSD-2-Clause"
"whatwg-url@5.0.0","MIT"
"which@1.3.1","ISC"
"windows-release@3.3.0","MIT"
"wrappy@1.0.2","ISC"

